iter	Passed	Remaining
401	10895	16207
402	10921	16179
403	10947	16150
404	10974	16123
405	11002	16096
406	11028	16068
407	11055	16040
408	11081	16012
409	11107	15984
410	11133	15955
411	11160	15928
412	11186	15899
413	11215	15874
414	11240	15845
415	11266	15816
416	11292	15787
417	11320	15761
418	11346	15732
419	11373	15706
420	11400	15678
421	11427	15651
422	11452	15622
423	11477	15592
424	11505	15566
425	11532	15539
426	11558	15511
427	11584	15482
428	11610	15453
429	11636	15425
430	11663	15397
431	11688	15368
432	11714	15339
433	11739	15310
434	11766	15282
435	11792	15254
436	11818	15225
437	11845	15198
438	11871	15170
439	11898	15142
440	11924	15114
441	11949	15085
442	11973	15054
443	12000	15027
444	12026	14999
445	12052	14971
446	12079	14944
447	12106	14916
448	12132	14889
449	12158	14860
450	12185	14833
451	12211	14804
452	12237	14776
453	12263	14748
454	12288	14719
455	12314	14691
456	12340	14662
457	12368	14636
458	12394	14608
459	12420	14580
460	12446	14552
461	12471	14523
462	12498	14495
463	12523	14467
464	12549	14439
465	12576	14411
466	12602	14383
467	12627	14354
468	12653	14326
469	12679	14298
470	12705	14270
471	12731	14242
472	12757	14213
473	12782	14184
474	12807	14155
475	12832	14127
476	12858	14098
477	12886	14072
478	12912	14044
479	12937	14015
480	12964	13989
481	12990	13960
482	13015	13931
483	13042	13904
484	13068	13876
485	13094	13849
486	13120	13820
487	13146	13792
488	13171	13764
489	13199	13738
490	13224	13709
491	13250	13681
492	13275	13652
493	13301	13624
494	13327	13596
495	13354	13569
496	13380	13541
497	13405	13513
498	13433	13487
499	13459	13459
500	13485	13431
501	13511	13404
502	13536	13375
503	13562	13347
504	13589	13320
505	13615	13292
506	13642	13265
507	13667	13237
508	13693	13209
509	13719	13181
510	13744	13153
511	13771	13126
512	13796	13097
513	13822	13069
514	13847	13040
515	13872	13012
516	13898	12984
517	13924	12956
518	13951	12929
519	13976	12901
520	14001	12873
521	14027	12845
522	14055	12819
523	14081	12791
524	14107	12763
525	14132	12735
526	14160	12709
527	14186	12681
528	14212	12654
529	14238	12626
530	14263	12598
531	14290	12571
532	14316	12544
533	14342	12516
534	14368	12488
535	14394	12460
536	14419	12432
537	14444	12404
538	14472	12377
539	14497	12349
540	14522	12321
541	14547	12293
542	14574	12265
543	14600	12238
544	14625	12210
545	14651	12182
546	14676	12154
547	14701	12126
548	14727	12098
549	14761	12077
550	14788	12051
551	14814	12023
552	14839	11995
553	14865	11967
554	14890	11939
555	14916	11911
556	14942	11884
557	14970	11858
558	14997	11831
559	15023	11804
560	15050	11777
561	15076	11749
562	15102	11722
563	15127	11694
564	15153	11666
565	15179	11639
566	15204	11611
567	15230	11583
568	15256	11556
569	15285	11531
570	15311	11503
571	15337	11476
572	15363	11448
573	15388	11421
574	15415	11394
575	15441	11366
576	15466	11338
577	15491	11310
578	15517	11282
579	15544	11256
580	15570	11228
581	15596	11201
582	15622	11174
583	15649	11147
584	15675	11120
585	15700	11092
586	15727	11065
587	15753	11038
588	15778	11010
589	15805	10983
590	15830	10955
591	15855	10927
592	15880	10899
593	15906	10872
594	15932	10844
595	15959	10817
596	15984	10790
597	16009	10762
598	16037	10736
599	16065	10710
600	16092	10683
601	16118	10656
602	16144	10628
603	16171	10602
604	16196	10574
605	16223	10548
606	16249	10520
607	16274	10492
608	16300	10465
609	16326	10438
610	16352	10410
611	16378	10383
612	16404	10356
613	16429	10328
614	16455	10301
615	16481	10274
616	16507	10246
617	16532	10219
618	16559	10192
619	16584	10164
620	16612	10138
621	16637	10110
622	16662	10083
623	16687	10055
624	16714	10028
625	16739	10000
626	16767	9974
627	16793	9947
628	16818	9920
629	16843	9892
630	16870	9865
631	16896	9838
632	16922	9811
633	16948	9784
634	16974	9756
635	16999	9729
