iter	RMSE
0	130.8456379
1	130.8027862
2	130.7411254
3	130.6390731
4	130.5609607
5	130.4884713
6	130.435557
7	130.372907
8	130.3214686
9	130.2575584
10	130.2008689
11	130.1628606
12	130.0940191
13	130.0541433
14	129.9752323
15	129.9301308
16	129.8996471
17	129.8478376
18	129.793163
19	129.72711
20	129.6775417
21	129.6448767
22	129.558475
23	129.525244
24	129.4721435
25	129.3885083
26	129.3442822
27	129.2852146
28	129.2316646
29	129.1656952
30	129.1116454
31	129.0904449
32	129.0586551
33	129.0326867
34	128.9729716
35	128.9222731
36	128.88645
37	128.8230051
38	128.808761
39	128.7486665
40	128.6895269
41	128.6482506
42	128.5972898
43	128.5527564
44	128.5300835
45	128.4838156
46	128.4238457
47	128.3986962
48	128.3676907
49	128.3374107
50	128.3007384
51	128.2708461
52	128.2327193
53	128.1830155
54	128.1467598
55	128.0714034
56	127.9885636
57	127.9534463
58	127.9396172
59	127.9195661
60	127.8963352
61	127.8602024
62	127.8212026
63	127.7834449
64	127.7460217
65	127.7240208
66	127.7136414
67	127.6860346
68	127.648782
69	127.5917681
70	127.5666992
71	127.5059607
72	127.4532464
73	127.4223648
74	127.3511696
75	127.3184059
76	127.2829481
77	127.2655414
78	127.2369353
79	127.1819995
80	127.151837
81	127.126841
82	127.1041897
83	127.1007668
84	127.065052
85	127.0491807
86	127.0207744
87	127.0119351
88	127.0001193
89	126.9567737
90	126.9112753
91	126.8666094
92	126.8135615
93	126.8104586
94	126.750356
95	126.7060239
96	126.6766205
97	126.6441376
98	126.5855877
99	126.5598822
100	126.512993
101	126.4789898
102	126.4559364
103	126.4290215
104	126.3879855
105	126.3094073
106	126.2866484
107	126.2263177
108	126.1997377
109	126.1757799
110	126.1730754
111	126.1401274
112	126.0817829
113	126.0669808
114	126.0469969
115	126.0222703
116	125.9888236
117	125.9575707
118	125.8830475
119	125.8140509
120	125.7627322
121	125.751911
122	125.6865661
123	125.6036051
124	125.5435371
125	125.5306805
126	125.5161441
127	125.5056363
128	125.4788529
129	125.4711154
130	125.4144409
131	125.3513241
132	125.3482422
133	125.3169316
134	125.313684
135	125.2749221
136	125.2434481
137	125.2038301
138	125.1908924
139	125.138551
140	125.08088
141	125.0158672
142	124.9330211
143	124.9082335
144	124.8378913
145	124.8342134
146	124.781499
147	124.7189561
148	124.7160789
149	124.6487553
150	124.6032715
151	124.5663534
152	124.5157426
153	124.4965258
154	124.4620159
155	124.4222379
156	124.3776526
157	124.3746555
158	124.3711538
159	124.3073431
160	124.2703999
161	124.2173235
162	124.1627514
163	124.1590345
164	124.1559079
165	124.1054084
166	124.0624915
167	124.010308
168	123.9819126
169	123.9297982
