iter	RMSE
170	123.9265201
171	123.8866216
172	123.8509673
173	123.8467934
174	123.7880102
175	123.7550355
176	123.7213847
177	123.7168356
178	123.712916
179	123.7085594
180	123.6407425
181	123.5975974
182	123.534172
183	123.5297492
184	123.4686439
185	123.4301169
186	123.4249801
187	123.3595646
188	123.3541738
189	123.3005757
190	123.2956605
191	123.2902704
192	123.2853524
193	123.2801839
194	123.2751266
195	123.2280818
196	123.2228118
197	123.1453405
198	123.1399228
199	123.1348615
200	123.129861
201	123.1247506
202	123.0632229
203	123.0261962
204	122.9747739
205	122.9694774
206	122.9639343
207	122.8999288
208	122.8942882
209	122.8890099
210	122.8834848
211	122.8197501
212	122.8144673
213	122.8091924
214	122.8037579
215	122.7983309
216	122.7929452
217	122.7470525
218	122.7416843
219	122.6725517
220	122.6179012
221	122.5758117
222	122.5290404
223	122.5236198
224	122.4597379
225	122.3735795
226	122.368186
227	122.3628651
228	122.2908975
229	122.2855887
230	122.2145836
231	122.1508203
232	122.1454473
233	122.1401329
234	122.1348536
235	122.0611156
236	122.0557986
237	121.9828639
238	121.9775886
239	121.9723153
240	121.9222985
241	121.8621475
242	121.8568911
243	121.8516589
244	121.8464614
245	121.8053582
246	121.7490813
247	121.7438476
248	121.7386412
249	121.7334729
250	121.7283104
251	121.6667686
252	121.6615887
253	121.6564192
254	121.6512831
255	121.6461385
256	121.5674157
257	121.5148084
258	121.5096382
259	121.5044697
260	121.4356392
261	121.3849477
262	121.3798235
263	121.3747193
264	121.3696214
265	121.3185738
266	121.313517
267	121.308461
268	121.2569776
269	121.2518631
270	121.2026598
271	121.1975933
272	121.1475994
273	121.1425423
274	121.1003658
275	121.0384504
276	121.0333495
277	121.0282892
278	121.0232336
279	121.0182176
280	120.9560804
281	120.8994483
282	120.8944037
283	120.837942
284	120.7857882
285	120.728399
286	120.6656929
287	120.6606336
288	120.6556055
289	120.6505909
290	120.5990781
291	120.5940736
292	120.5890823
293	120.5840761
294	120.5266721
295	120.5216759
296	120.4654645
297	120.4604461
298	120.4554662
299	120.4505108
300	120.4455529
301	120.4406125
302	120.4356607
303	120.4307336
304	120.4258105
305	120.3727174
306	120.3677854
307	120.2970473
308	120.2921211
309	120.2871904
310	120.2146055
311	120.2096683
312	120.1552132
313	120.1037839
314	120.0407591
315	120.0358035
316	120.0308814
317	119.9892578
318	119.9843346
319	119.9141474
320	119.9092115
321	119.8299668
322	119.784429
323	119.77949
324	119.7745701
325	119.7696455
326	119.7647445
327	119.7598546
328	119.7549755
329	119.7500831
330	119.6943274
331	119.6894427
332	119.684578
333	119.6797168
334	119.6748481
335	119.6699878
336	119.665132
337	119.6602697
338	119.6554402
339	119.6119622
340	119.6071394
341	119.5417316
342	119.5368911
343	119.5320689
344	119.5272474
345	119.5224413
346	119.5176293
347	119.512835
348	119.5080409
349	119.442211
350	119.4373972
351	119.4325962
352	119.3777055
353	119.3729101
354	119.3681329
355	119.3633646
356	119.358604
357	119.3538363
358	119.3120302
359	119.3072597
360	119.302451
361	119.2625274
362	119.2577563
363	119.2530126
364	119.2482798
365	119.2435564
366	119.2387871
367	119.1608284
368	119.1560318
369	119.1512801
370	119.1004531
371	119.0423598
372	118.9858247
373	118.9810801
374	118.9763328
375	118.9715931
376	118.9668294
377	118.9620736
378	118.9066823
379	118.9019049
380	118.8971702
381	118.8924599
382	118.8877546
383	118.8830339
384	118.8783394
385	118.8736069
386	118.8689229
387	118.8642179
388	118.859501
389	118.8547922
390	118.8501027
391	118.8454311
392	118.8407619
393	118.7906269
394	118.727679
395	118.7229793
396	118.7182787
397	118.7136003
398	118.7089302
399	118.7042622
400	118.6996041
401	118.6300267
402	118.6253353
403	118.6206826
404	118.5583109
405	118.5071215
406	118.4603361
407	118.455639
408	118.4509577
409	118.4463036
410	118.441648
411	118.3901882
412	118.3855348
413	118.3808822
414	118.3762236
415	118.3200214
416	118.3153784
417	118.267718
418	118.2630629
419	118.2584288
420	118.1993169
421	118.1452549
422	118.1405927
423	118.1359498
424	118.0809083
425	118.0762667
426	118.0716248
427	118.0324915
428	118.0278552
429	117.9789546
430	117.9743035
431	117.9696837
432	117.9161507
433	117.9114948
434	117.9068671
435	117.9022499
436	117.862199
437	117.8575815
438	117.8529652
439	117.8483591
440	117.7958239
441	117.7911838
442	117.7865665
443	117.7819681
444	117.7271576
445	117.7225549
446	117.7179573
447	117.7133451
448	117.7087628
449	117.7041842
450	117.6996079
451	117.6950251
452	117.640595
453	117.6360059
454	117.6314197
455	117.5759671
456	117.5713725
457	117.5668035
458	117.5622271
459	117.5576576
460	117.5530972
461	117.5485393
462	117.5439658
463	117.5394095
464	117.5348577
465	117.5303159
466	117.5257709
467	117.5212333
468	117.5166978
469	117.4764984
470	117.4719614
471	117.4256272
472	117.4210922
473	117.4165695
474	117.4120254
475	117.407502
476	117.4029882
477	117.3984784
478	117.3939449
479	117.3473607
480	117.342842
481	117.3383376
482	117.3338293
483	117.3293199
484	117.3248071
485	117.2778359
486	117.2733019
487	117.2687853
488	117.2642816
489	117.2597863
490	117.255291
491	117.2507904
492	117.2463074
493	117.2418193
494	117.237338
495	117.1756473
496	117.1711603
497	117.1666728
498	117.1621997
499	117.1577074
500	117.095271
501	117.090775
502	117.086309
503	117.0818499
504	117.0773864
505	117.0729055
506	117.0684541
507	117.0640023
508	117.0595334
509	117.0202286
510	117.0157799
511	116.970778
512	116.9663132
513	116.961847
514	116.957388
515	116.9529401
516	116.9484971
517	116.9440469
518	116.9395899
519	116.9351566
520	116.9307259
521	116.9262999
522	116.9218759
523	116.9174398
524	116.9130218
525	116.9086069
526	116.9041941
527	116.8997811
528	116.8460458
529	116.8415995
530	116.7821128
531	116.7200441
532	116.7156107
533	116.7111857
534	116.6576675
535	116.6532105
536	116.6487592
537	116.6443188
538	116.6001887
539	116.5957591
540	116.5913408
541	116.5869282
542	116.5825115
543	116.5780888
544	116.5736763
545	116.5692612
546	116.497899
547	116.49348
548	116.4890734
549	116.4846343
550	116.4802334
551	116.4363074
552	116.4319013
553	116.4275107
554	116.4230917
555	116.3744504
556	116.3700539
557	116.3114633
558	116.3070407
559	116.3026315
560	116.2982326
561	116.293843
562	116.2454445
563	116.2410137
564	116.2365976
565	116.1854696
566	116.1810403
567	116.1766516
568	116.1722617
569	116.1166606
570	116.1122631
571	116.1078603
572	116.1034663
573	116.0990782
574	116.0569811
575	116.0525966
576	116.0482229
577	116.0438523
578	116.0394779
579	115.9780895
580	115.9736966
581	115.9693233
582	115.9649471
583	115.9089135
584	115.9045351
585	115.9001795
586	115.8958008
587	115.8914473
588	115.8870894
589	115.882747
590	115.8305083
591	115.8261512
592	115.8217558
593	115.8174075
594	115.8130427
595	115.8087029
596	115.8043597
597	115.8000298
598	115.7396922
599	115.7353066
600	115.6852232
601	115.6808647
602	115.67652
603	115.6133265
604	115.6089552
605	115.581357
606	115.5770044
607	115.572651
608	115.5683209
609	115.5639918
610	115.5596765
611	115.5553485
612	115.5510242
613	115.5203415
614	115.5160211
615	115.5117139
616	115.5073904
617	115.503088
618	115.4987768
619	115.4944719
620	115.4901795
621	115.4858805
622	115.4815636
623	115.4772764
624	115.4227333
625	115.4184221
626	115.4140831
627	115.4097936
628	115.4054776
629	115.4011894
630	115.3969096
631	115.3442622
632	115.3399455
633	115.3356535
634	115.3313718
635	115.3270985
636	115.3228252
637	115.3185484
638	115.31428
639	115.269661
640	115.2237003
641	115.2194118
642	115.2151433
643	115.2108413
644	115.2065805
645	115.2023218
646	115.1736181
647	115.169325
648	115.1650376
649	115.1607695
650	115.0948216
651	115.0905502
652	115.0862889
653	115.082034
654	115.077743
655	115.0734951
656	115.0692451
657	115.0160708
658	115.0118115
659	115.0075681
660	115.0033308
661	114.9503521
662	114.9460613
663	114.9004966
664	114.8962285
665	114.846943
666	114.8426631
667	114.8384163
668	114.7837697
669	114.7794823
670	114.7752343
671	114.7709904
672	114.7667609
673	114.6951724
674	114.6909305
675	114.6866577
676	114.6824194
677	114.6168549
678	114.6125958
679	114.5470193
680	114.5427416
681	114.5385056
682	114.5342774
683	114.5300232
684	114.5258026
685	114.5215539
686	114.5173361
687	114.5131254
688	114.5089153
689	114.504688
690	114.4392598
691	114.3948592
692	114.3906134
693	114.3863681
694	114.3214229
695	114.3171608
696	114.3129364
697	114.3087192
698	114.3044875
699	114.3002852
700	114.296086
701	114.2452423
702	114.1904202
703	114.1861709
704	114.1819451
705	114.1777326
706	114.1735247
707	114.1693224
708	114.1131536
709	114.1089428
710	114.1047384
711	114.1005417
712	114.0963451
713	114.0921592
714	114.0879493
715	114.0837727
716	114.0795676
717	114.0284815
718	114.0242849
719	114.020104
720	114.0159157
721	114.0117314
722	114.0075528
723	114.0033827
724	113.999195
725	113.9950232
726	113.9908501
727	113.9866706
728	113.9825134
729	113.978343
730	113.9741765
731	113.9700147
732	113.9658645
733	113.9203509
734	113.9161572
735	113.9120006
736	113.9078541
737	113.865999
738	113.8618487
739	113.8576781
740	113.8535313
741	113.8493667
742	113.8452294
743	113.7892965
744	113.7851348
745	113.7809972
746	113.7768633
747	113.772726
748	113.7350447
749	113.7308842
750	113.7267321
751	113.7226028
752	113.718452
753	113.6648961
754	113.6607221
755	113.6565419
756	113.6524013
757	113.6482737
758	113.6441455
759	113.6400231
760	113.6112925
761	113.5640654
762	113.559922
763	113.5557614
764	113.5516333
765	113.5475133
766	113.5433667
767	113.5392518
768	113.5351103
769	113.5309856
770	113.5268776
771	113.5227725
772	113.5186618
773	113.4598637
774	113.455706
775	113.451587
776	113.4474571
777	113.4433499
778	113.4392447
779	113.4351455
780	113.4310487
781	113.4269531
782	113.4228394
783	113.3773339
784	113.3732294
785	113.3691345
786	113.3650435
787	113.3609461
788	113.3025186
789	113.2589081
790	113.254779
791	113.2506762
792	113.2465568
793	113.2424634
794	113.2057577
795	113.2016473
796	113.1975589
797	113.1447267
798	113.1405893
799	113.1365061
800	113.1324186
801	113.1283091
802	113.071676
803	113.0135147
804	112.9836896
805	112.9795621
806	112.9754715
807	112.9713824
808	112.9672925
809	112.9632155
810	112.9591151
811	112.9550186
812	112.9509488
813	112.9468787
814	112.9428147
815	112.9387303
816	112.9346497
817	112.9305766
818	112.9265095
819	112.9224365
820	112.9183849
821	112.9143341
822	112.8528084
823	112.807228
824	112.8030935
825	112.7641124
826	112.7193135
827	112.715228
828	112.7111599
829	112.7070896
830	112.6572521
831	112.6531638
832	112.6490993
833	112.6450403
834	112.6409661
835	112.6369001
836	112.6012868
837	112.5972359
838	112.5931768
839	112.5891223
840	112.5850805
841	112.5810292
842	112.5769812
843	112.5729242
844	112.5182254
845	112.5141577
846	112.510108
847	112.5060507
848	112.5020114
849	112.4979764
850	112.493952
851	112.4899252
852	112.4859048
853	112.4818823
854	112.4778655
855	112.4738152
856	112.4697985
857	112.4657543
858	112.4617376
859	112.4576982
860	112.4536627
861	112.4496563
862	112.4456485
863	112.4416167
864	112.4375997
865	112.4335921
866	112.4295708
867	112.4255685
868	112.421554
869	112.4175552
870	112.4135603
871	112.3672663
872	112.3632465
873	112.3592277
874	112.3552272
875	112.3512159
876	112.3472191
877	112.3432295
878	112.3392375
879	112.335233
880	112.3312417
881	112.3272593
882	112.3232778
883	112.3192846
884	112.3152928
885	112.3113053
886	112.307322
887	112.3033402
888	112.2993512
889	112.2953659
890	112.2194021
891	112.1650715
892	112.1610481
893	112.11379
894	112.1097671
895	112.1057716
896	112.101757
897	112.0977435
898	112.0937453
899	112.0897554
900	112.036237
901	112.0322555
902	111.9830026
903	111.9790008
904	111.9750073
905	111.9710188
906	111.9670484
907	111.9630625
908	111.9590803
909	111.9551164
910	111.9003185
911	111.8963245
912	111.8923504
913	111.8883668
914	111.8844002
915	111.8804224
916	111.8764641
917	111.8423696
918	111.8383963
919	111.8344165
920	111.8304479
921	111.8264928
922	111.8225349
923	111.7662454
924	111.7622587
925	111.7583002
926	111.7543474
927	111.7144293
928	111.7104671
929	111.7065079
930	111.7025562
931	111.6985927
932	111.6946362
933	111.6407267
934	111.6367583
935	111.6328027
936	111.6288466
937	111.6249063
938	111.6209591
939	111.6170219
940	111.6130871
941	111.609155
942	111.6052206
943	111.6012841
944	111.5973573
945	111.5556463
946	111.5516915
947	111.5477403
948	111.5438151
949	111.508717
950	111.4660097
951	111.462036
952	111.4580939
953	111.4541556
954	111.4502103
955	111.4462749
956	111.4036205
957	111.399657
958	111.3493645
959	111.3453961
960	111.3414403
961	111.3374844
962	111.3335513
963	111.3296234
964	111.3256998
965	111.3217721
966	111.2595429
967	111.2555737
968	111.2516456
969	111.2477236
970	111.243801
971	111.2398686
972	111.235949
973	111.232037
974	111.2281272
975	111.2242162
976	111.1857897
977	111.1818736
978	111.1779161
979	111.1740108
980	111.1700761
981	111.166179
982	111.162281
983	111.1583838
984	111.1544825
985	111.1505926
986	111.0810834
987	111.0770851
988	111.0731442
989	111.0692319
990	111.0653276
991	111.0614262
992	111.0575117
993	111.0536164
994	111.0497154
995	111.045816
996	111.0419201
997	111.0380232
998	111.0341289
999	111.0302454
